csv
ticket_id,ticket_name,class,project_name,category/scene,asset/shot,element,shader_variation(if any),assigner,assignee,create_date,start_date,due_date,current_status,current_status_changed_date
32394,Hi,share,twh,chr,rider,Tex,default:generic,khims,jele,2024-05-14 9:46:29,2024-05-15 9:00:00,2024-05-29 18:00:00,publishing on queue,2024-05-24 17:49:02
32394,Hi,share,twh,chr,rider,Tex,default:generic,khims,jele,2024-05-14 9:46:29,2024-05-15 9:00:00,2024-05-29 18:00:00,publishing,2024-05-24 17:49:27
32394,Hi,share,twh,chr,rider,Tex,default:generic,khims,jele,2024-05-14 9:46:29,2024-05-15 9:00:00,2024-05-29 18:00:00,app pending,2024-05-24 17:49:38
32394,Hi,share,twh,chr,rider,Tex,default:generic,khims,jele,2024-05-14 9:46:29,2024-05-15 9:00:00,2024-05-29 18:00:00,publishing on queue,2024-05-28 14:46:23
32395,New Asset,asset,twh,prop,car,Mod,v01,jele,khims,2024-05-16 10:00:00,2024-05-17 9:00:00,2024-06-07 18:00:00,ready to start,2024-05-17 9:00:00
32395,New Asset,asset,twh,prop,car,Mod,v01,jele,khims,2024-05-16 10:00:00,2024-05-17 9:00:00,2024-06-07 18:00:00,work in progress,2024-05-20 11:30:00
32396,Character Rig,rig,twh,chr,main_char,Rig,default,khims,act,2024-05-18 14:20:00,2024-05-20 9:00:00,2024-06-14 18:00:00,not start,2024-05-20 9:00:00
32397,Scene Setup,scene,project_x,scene,env_01,Layout,default,jele,khims,2024-05-20 10:00:00,2024-05-21 9:00:00,2024-06-21 18:00:00,ready to start,2024-05-21 9:00:00
32397,Scene Setup,scene,project_x,scene,env_01,Layout,default,jele,khims,2024-05-20 10:00:00,2024-05-21 9:00:00,2024-06-21 18:00:00,work in progress,2024-05-23 14:00:00
32397,Scene Setup,scene,project_x,scene,env_01,Layout,default,jele,khims,2024-05-20 10:00:00,2024-05-21 9:00:00,2024-06-21 18:00:00,wait for internal review,2024-05-28 10:00:00
32398,Texture Paint,asset,project_x,prop,tree,Tex,default,act,jele,2024-05-22 11:00:00,2024-05-23 9:00:00,2024-06-07 18:00:00,work in progress,2024-05-23 9:00:00
32399,Animation Block,animation,twh,seq,shot_010,Anim,default,khims,act,2024-05-24 9:00:00,2024-05-27 9:00:00,2024-06-28 18:00:00,not start,2024-05-27 9:00:00
32399,Animation Block,animation,twh,seq,shot_010,Anim,default,khims,act,2024-05-24 9:00:00,2024-05-27 9:00:00,2024-06-28 18:00:00,work in progress,2024-05-29 10:00:00
32400,Lighting Setup,lighting,project_y,scene,int_room,Light,default,jele,khims,2024-05-26 13:00:00,2024-05-28 9:00:00,2024-06-14 18:00:00,ready to start,2024-05-28 9:00:00
32401,VFX Simulation,vfx,project_y,fx,fire,Sim,default,act,jele,2024-05-27 10:00:00,2024-05-29 9:00:00,2024-06-21 18:00:00,not start,2024-05-29 9:00:00
32402,Render Final,render,twh,seq,shot_010,Render,default,khims,act,2024-05-29 15:00:00,2024-05-30 9:00:00,2024-06-07 18:00:00,ready to start,2024-05-30 9:00:00
